	Numbero f particles	Process std	param_measurement_std	param_vel_std	param_res_g	mean_test_score
72	10000	0.01	0.01	0.05	0.2	-0.00034358607039352554
140	600	0.04	0.015	0.15	0.5	-0.0003433255696940867
299	10000	0.01	0.02	0.15	0.75	-0.0003428875382017283
128	600	0.02	0.015	0.15	0.5	-0.00034287564139416166
60	2500	0.04	0.01	0.05	0.2	-0.00034119645312244776
116	600	0.01	0.015	0.15	0.5	-0.00034084574663289575
311	10000	0.02	0.02	0.15	0.75	-0.00034064086910195313
323	10000	0.04	0.02	0.15	0.75	-0.0003398538099188359
24	600	0.04	0.01	0.05	0.2	-0.0003363206010811052
117	600	0.01	0.015	0.05	0.75	-0.00033383307256557303
164	2500	0.02	0.015	0.15	0.5	-0.00033375581360560225
152	2500	0.01	0.015	0.15	0.5	-0.00033263930395369535
212	10000	0.04	0.015	0.15	0.5	-0.00033262570739018394
200	10000	0.02	0.015	0.15	0.5	-0.0003325143926483273
176	2500	0.04	0.015	0.15	0.5	-0.00033191109988434217
188	10000	0.01	0.015	0.15	0.5	-0.00033143928721511936
238	600	0.02	0.02	0.1	0.75	-0.0003303363940704302
141	600	0.04	0.015	0.05	0.75	-0.00033020520255089123
250	600	0.04	0.02	0.1	0.75	-0.0003294548702190425
226	600	0.01	0.02	0.1	0.75	-0.0003294156683310203
201	10000	0.02	0.015	0.05	0.75	-0.000328719020746668
165	2500	0.02	0.015	0.05	0.75	-0.0003286954113682589
129	600	0.02	0.015	0.05	0.75	-0.00032851531027495285
177	2500	0.04	0.015	0.05	0.75	-0.00032805382758634957
12	600	0.02	0.01	0.05	0.2	-0.0003274158961541434
189	10000	0.01	0.015	0.05	0.75	-0.00032536532955377813
213	10000	0.04	0.015	0.05	0.75	-0.00032491085557914587
127	600	0.02	0.015	0.1	0.5	-0.0003244266738014515
153	2500	0.01	0.015	0.05	0.75	-0.0003240805928863781
113	600	0.01	0.015	0.15	0.4	-0.0003233166434344178
125	600	0.02	0.015	0.15	0.4	-0.00032322681173552697
139	600	0.04	0.015	0.1	0.5	-0.0003227543754968828
274	2500	0.02	0.02	0.1	0.75	-0.0003221184456877469
322	10000	0.04	0.02	0.1	0.75	-0.0003211696042344908
298	10000	0.01	0.02	0.1	0.75	-0.00032098927159185576
197	10000	0.02	0.015	0.15	0.4	-0.000320362238455666
262	2500	0.01	0.02	0.1	0.75	-0.0003201418751796377
286	2500	0.04	0.02	0.1	0.75	-0.0003197818059616143
149	2500	0.01	0.015	0.15	0.4	-0.00031968161158972775
185	10000	0.01	0.015	0.15	0.4	-0.0003189571409165856
161	2500	0.02	0.015	0.15	0.4	-0.0003184138483137159
199	10000	0.02	0.015	0.1	0.5	-0.0003180822226298281
173	2500	0.04	0.015	0.15	0.4	-0.0003180128383426656
151	2500	0.01	0.015	0.1	0.5	-0.00031696209206798996
187	10000	0.01	0.015	0.1	0.5	-0.00031680047127391296
211	10000	0.04	0.015	0.1	0.5	-0.0003167607625577456
310	10000	0.02	0.02	0.1	0.75	-0.00031651085361082064
115	600	0.01	0.015	0.1	0.5	-0.0003164155301318974
137	600	0.04	0.015	0.15	0.4	-0.0003155970433532925
163	2500	0.02	0.015	0.1	0.5	-0.00031499195334966015
209	10000	0.04	0.015	0.15	0.4	-0.0003137338907094897
175	2500	0.04	0.015	0.1	0.5	-0.00031272729320473073
112	600	0.01	0.015	0.1	0.4	-0.0003062804769464115
224	600	0.01	0.02	0.15	0.5	-0.0003017466650118865
196	10000	0.02	0.015	0.1	0.4	-0.0002975465696032755
208	10000	0.04	0.015	0.1	0.4	-0.00029656318758577906
148	2500	0.01	0.015	0.1	0.4	-0.0002955022323684879
136	600	0.04	0.015	0.1	0.4	-0.0002951594072239758
184	10000	0.01	0.015	0.1	0.4	-0.00029447953935617105
172	2500	0.04	0.015	0.1	0.4	-0.00029419434001706497
272	2500	0.02	0.02	0.15	0.5	-0.00029183574421013763
248	600	0.04	0.02	0.15	0.5	-0.00029156580950440066
160	2500	0.02	0.015	0.1	0.4	-0.0002899784944424694
162	2500	0.02	0.015	0.05	0.5	-0.0002890825179200794
236	600	0.02	0.02	0.15	0.5	-0.0002883323211863368
296	10000	0.01	0.02	0.15	0.5	-0.00028687549671800534
126	600	0.02	0.015	0.05	0.5	-0.00028637737925296306
308	10000	0.02	0.02	0.15	0.5	-0.00028599708997545555
320	10000	0.04	0.02	0.15	0.5	-0.00028434465445373704
284	2500	0.04	0.02	0.15	0.5	-0.00028404635807048026
260	2500	0.01	0.02	0.15	0.5	-0.00028386411904114385
174	2500	0.04	0.015	0.05	0.5	-0.0002833052513912134
186	10000	0.01	0.015	0.05	0.5	-0.00028294950872228544
124	600	0.02	0.015	0.1	0.4	-0.0002826426311435158
114	600	0.01	0.015	0.05	0.5	-0.00028234074267152043
182	10000	0.01	0.015	0.15	0.2	-0.00027959031938866707
210	10000	0.04	0.015	0.05	0.5	-0.0002795476257626665
198	10000	0.02	0.015	0.05	0.5	-0.0002795017761416931
150	2500	0.01	0.015	0.05	0.5	-0.00027380091282812324
194	10000	0.02	0.015	0.15	0.2	-0.00027168804849966426
183	10000	0.01	0.015	0.05	0.4	-0.0002715553465801274
206	10000	0.04	0.015	0.15	0.2	-0.00027144435683126134
225	600	0.01	0.02	0.05	0.75	-0.0002713323083641545
158	2500	0.02	0.015	0.15	0.2	-0.0002708354852870417
249	600	0.04	0.02	0.05	0.75	-0.0002704301140334904
110	600	0.01	0.015	0.15	0.2	-0.0002700957517741327
170	2500	0.04	0.015	0.15	0.2	-0.0002685094471763358
146	2500	0.01	0.015	0.15	0.2	-0.0002682243654557531
207	10000	0.04	0.015	0.05	0.4	-0.000267280390093572
285	2500	0.04	0.02	0.05	0.75	-0.0002664015383624638
171	2500	0.04	0.015	0.05	0.4	-0.0002650770228644003
273	2500	0.02	0.02	0.05	0.75	-0.00026370973697617035
138	600	0.04	0.015	0.05	0.5	-0.0002636228625408919
297	10000	0.01	0.02	0.05	0.75	-0.00026338431054425424
237	600	0.02	0.02	0.05	0.75	-0.00026315621841547
195	10000	0.02	0.015	0.05	0.4	-0.00026311468903309013
321	10000	0.04	0.02	0.05	0.75	-0.0002619030195546916
245	600	0.04	0.02	0.15	0.4	-0.0002606737814794026
309	10000	0.02	0.02	0.05	0.75	-0.0002603640148290377
122	600	0.02	0.015	0.15	0.2	-0.0002601135014553557
147	2500	0.01	0.015	0.05	0.4	-0.00025970443093082063
233	600	0.02	0.02	0.15	0.4	-0.0002589116463570705
159	2500	0.02	0.015	0.05	0.4	-0.0002578193495009954
169	2500	0.04	0.015	0.1	0.2	-0.0002574416025851038
205	10000	0.04	0.015	0.1	0.2	-0.0002564990922221951
223	600	0.01	0.02	0.1	0.5	-0.0002558033563662831
261	2500	0.01	0.02	0.05	0.75	-0.0002554119985613673
134	600	0.04	0.015	0.15	0.2	-0.0002551508592708541
135	600	0.04	0.015	0.05	0.4	-0.00025331247624807185
193	10000	0.02	0.015	0.1	0.2	-0.0002525561527765009
123	600	0.02	0.015	0.05	0.4	-0.0002522542541305033
247	600	0.04	0.02	0.1	0.5	-0.00025113438601265427
145	2500	0.01	0.015	0.1	0.2	-0.0002509724922201953
235	600	0.02	0.02	0.1	0.5	-0.00025006418928612316
181	10000	0.01	0.015	0.1	0.2	-0.00024974045244495355
259	2500	0.01	0.02	0.1	0.5	-0.0002483755056830615
111	600	0.01	0.015	0.05	0.4	-0.0002483577589492065
