	num_particles	process_std	measurement_std	g	h	mean_test_score	mean_score_time
50	2500	0.01	0.0175	0.5	0.25	-0.0004893392866081386	0.7635056972503662
87	2500	0.02	0.02	0.75	0.5	-0.0004894819049479448	1.2244646549224854
40	600	0.01	0.0175	0.4	0.75	-0.0004895222429123791	0.3764967918395996
75	2500	0.02	0.0175	0.75	0.25	-0.0004897127770331792	1.0958051681518555
2	2500	0.01	0.0175	0.2	0.25	-0.0004897379982548195	0.6921515464782715
70	2500	0.01	0.02	0.5	0.75	-0.0004903948949221425	0.7927567958831787
26	2500	0.01	0.0175	0.4	0.25	-0.0004905970297645776	0.7340483665466309
36	600	0.01	0.02	0.4	0.5	-0.0004906010814838213	0.4214510917663574
54	2500	0.01	0.02	0.5	0.25	-0.0004906412163660077	0.6600840091705322
62	2500	0.01	0.02	0.5	0.5	-0.0004908653893692523	0.6703696250915527
89	600	0.02	0.0175	0.75	0.75	-0.000490917416168698	0.45652079582214355
38	2500	0.01	0.02	0.4	0.5	-0.0004910321079023881	0.7133574485778809
95	2500	0.02	0.02	0.75	0.75	-0.0004912892339941284	0.9959237575531006
21	600	0.02	0.02	0.2	0.75	-0.0004913683228848643	0.4566071033477783
91	2500	0.02	0.0175	0.75	0.75	-0.0004914674716018683	1.0097320079803467
22	2500	0.01	0.02	0.2	0.75	-0.0004915805238734653	0.6808617115020752
93	600	0.02	0.02	0.75	0.75	-0.0004921804462566724	0.45644569396972656
64	600	0.01	0.0175	0.5	0.75	-0.0004922196252242645	0.455580472946167
52	600	0.01	0.02	0.5	0.25	-0.0004924444490500377	0.37307286262512207
58	2500	0.01	0.0175	0.5	0.5	-0.0004931831724105118	1.0787851810455322
48	600	0.01	0.0175	0.5	0.25	-0.000493963103558736	0.4049413204193115
10	2500	0.01	0.0175	0.2	0.5	-0.000493978064256782	0.701592206954956
20	600	0.01	0.02	0.2	0.75	-0.0004942009312630036	0.38245058059692383
44	600	0.01	0.02	0.4	0.75	-0.0004942293533347319	0.3645045757293701
8	600	0.01	0.0175	0.2	0.5	-0.00049423314202787	0.38751649856567383
30	2500	0.01	0.02	0.4	0.25	-0.0004943442642223516	0.6654829978942871
32	600	0.01	0.0175	0.4	0.5	-0.000494436878412927	0.38712573051452637
34	2500	0.01	0.0175	0.4	0.5	-0.0004945085251128844	0.8519012928009033
42	2500	0.01	0.0175	0.4	0.75	-0.0004947326115487192	0.8363158702850342
46	2500	0.01	0.02	0.4	0.75	-0.0004953447560399185	0.7435257434844971
60	600	0.01	0.02	0.5	0.5	-0.0004961201161956817	0.45235180854797363
24	600	0.01	0.0175	0.4	0.25	-0.0004966118552202069	0.38259410858154297
16	600	0.01	0.0175	0.2	0.75	-0.0004966262270326773	0.3912007808685303
4	600	0.01	0.02	0.2	0.25	-0.0004977446594401714	0.3640868663787842
28	600	0.01	0.02	0.4	0.25	-0.000498909788811219	0.40450382232666016
12	600	0.01	0.02	0.2	0.5	-0.000500433055987905	0.3774080276489258
68	600	0.01	0.02	0.5	0.75	-0.0005007196092215556	0.495208740234375
72	600	0.01	0.0175	0.75	0.25	-0.0005045113164315529	0.6731386184692383
74	2500	0.01	0.0175	0.75	0.25	-0.0005052685286389951	1.4099171161651611
82	2500	0.01	0.0175	0.75	0.5	-0.0005062129449387068	0.7888944149017334
90	2500	0.01	0.0175	0.75	0.75	-0.0005062796079898876	0.778296947479248
80	600	0.01	0.0175	0.75	0.5	-0.0005083206292967117	0.4020528793334961
78	2500	0.01	0.02	0.75	0.25	-0.0005088420354939771	0.8023076057434082
76	600	0.01	0.02	0.75	0.25	-0.0005096913957671306	0.42653822898864746
88	600	0.01	0.0175	0.75	0.75	-0.0005102662639000962	0.39059948921203613
92	600	0.01	0.02	0.75	0.75	-0.0005123293021394385	0.4004483222961426
84	600	0.01	0.02	0.75	0.5	-0.000513790908597762	0.38935399055480957
94	2500	0.01	0.02	0.75	0.75	-0.0005148278176333969	0.716195821762085
86	2500	0.01	0.02	0.75	0.5	-0.0005152510401192726	0.8688316345214844
