	num_particles	process_std	measurement_std	g	h	rotflip_const	mean_test_score	mean_score_time
2811	2500	0.494056349357669	0.21280967344482826	0.6272897816385476	0.9943898433241792	0.1	-0.0029902533776220283	1.3136661052703857
2352	1000	0.5604992233437303	0.3119531608790156	0.9549357099659764	0.1829085303140604	0.1	-0.002990376183008482	0.7620084285736084
1287	600	0.39351660950116685	0.2505658460556689	0.6416920910829583	0.54080332124735	0.1	-0.002991096523697274	0.6087682247161865
1167	1000	0.26424905178161207	0.29580027599408854	0.48947254576933624	0.6915967218118868	0.1	-0.0029912091603339	0.756983757019043
2080	1000	0.20422783548275714	0.16646443200477803	0.9259070451774665	0.76692763174245	0.1	-0.002991254830539888	0.7616245746612549
643	2500	0.45030337837809636	0.2974636389522779	0.40883942975764087	0.11305111832424508	0.1	-0.0029913463533858113	1.3514149188995361
1820	600	0.32660971070894934	0.27208849270117186	0.4217717763202521	0.6400304772575226	0.1	-0.002991426754582556	0.6097171306610107
1327	1500	0.4800807339332714	0.2522017545051609	0.5085526848211444	0.23872407199101264	0.1	-0.00299225854681891	0.9441065788269043
1250	600	0.29176279098755564	0.31763186134818555	0.8399257592699958	0.06769027877716427	0.1	-0.0029928037730509753	0.6097066402435303
964	1500	0.29994200595937925	0.27766310819877904	0.404979832100655	0.686165870627255	0.1	-0.002992985832469366	0.955348014831543
1709	1000	0.37309752084911285	0.21620842946140714	0.5110411886926286	0.21760765287500494	0.1	-0.002993334151975289	0.7633671760559082
1652	2500	0.47819255950377765	0.2165423093392809	0.799102986401832	0.8778623100494498	0.1	-0.002993632223452495	1.3307714462280273
1837	2500	0.4890236300216724	0.2057110479045702	0.9929247637852634	0.2387687435733158	0.1	-0.0029943740565242637	1.315077781677246
1957	1000	0.22900218876296363	0.2398643305914341	0.4879827206210539	0.7752230662235412	0.1	-0.002994714964823957	0.7614712715148926
1163	1500	0.5919816190276777	0.30169880658031667	0.9859182461279187	0.6417293972380628	0.1	-0.0029949790704710314	0.94907546043396
1216	1000	0.4129558662228849	0.3043213754477383	0.5840721071348289	0.16066964314291432	0.1	-0.0029954374605604627	0.7638075351715088
2314	2500	0.5595372646720214	0.27225883851150423	0.5661258143566292	0.5069662708410769	0.1	-0.0029956112062559837	1.3388335704803467
