	num_particles	process_std	vel_std	measurement_std	res_g	rotflip_const	mean_test_score	mean_score_time
1906	1500	0.4279369208510365	0.5116922372411078	0.5281219789849475	0.482485928022106	0.1	-0.0024716328186329736	1.0773296356201172
2869	1500	0.3313010884139219	0.6311897130517392	0.5236165010073499	0.22764900731304483	0.1	-0.002471807005161728	1.072253942489624
2065	2500	0.31644542142991006	0.6360674340282544	0.3710597294947695	0.5931838644848163	0.1	-0.0024731379171207568	1.5207545757293701
1566	2500	0.2401085107422274	0.6912241482859612	0.2756606523599917	0.045115759923512355	0.1	-0.002473176530080684	1.5222060680389404
633	2500	0.4508510037817155	0.6026524057711805	0.5210404070266252	0.5618562864815762	0.1	-0.0024735020790535925	1.536048173904419
191	2500	0.30867941179205455	0.4529044942491336	0.27874451242454584	0.20139743834017232	0.1	-0.002473854529060292	1.528745412826538
2630	1500	0.33009058728356716	0.33917828555984675	0.5043666070846885	0.5454586010463244	0.1	-0.002474763455163523	1.071732759475708
1910	1000	0.29631475536836505	0.38166029403812135	0.3891578026193746	0.16551662458220606	0.1	-0.0024754422945970694	0.8429338932037354
105	1000	0.30768440740543507	0.28936966039501155	0.28172339589652323	0.32785286821196213	0.1	-0.0024767699806179494	0.8386521339416504
248	2500	0.23843972835586996	0.6596392903192732	0.5041595966366107	0.17030626045560404	0.1	-0.00247755937205418	1.5279114246368408
2236	1000	0.21009819664357582	0.3440311863387543	0.37544721243667933	0.5822007751676229	0.1	-0.0024775619303098522	0.8407642841339111
2390	2500	0.29314188749954606	0.49639991785757276	0.48140938697374647	0.5319791300474402	0.1	-0.0024777790383297836	1.523254156112671
2232	1000	0.3206996619259156	0.3967618528625746	0.3672641737960181	0.7759755393413394	0.1	-0.0024779461060557236	0.8415544033050537
1269	1000	0.3143865912416197	0.21855060236771248	0.3099704675612611	0.5662244017458723	0.1	-0.00247800139845315	0.8352460861206055
154	1500	0.45607319434576105	0.386375195447616	0.5706910033168144	0.8138124974934533	0.1	-0.0024780024481266755	1.0757122039794922
630	1000	0.2734683949403216	0.2575304033898126	0.45330944246504934	0.20991211110023522	0.1	-0.00247888556850675	0.7691640853881836
2256	600	0.25360198907044845	0.1715518498812852	0.31167455717221293	0.662847011360078	0.1	-0.002479031794385283	0.662982702255249
1958	1000	0.24764912326883698	0.21319067013461196	0.3172960007444965	0.42032397959905454	0.1	-0.002479507536016253	0.8348832130432129
2595	1500	0.3488975311234246	0.4180285572224677	0.48345182071551995	0.5775693507719987	0.1	-0.0024797534004420757	1.0742413997650146
558	1500	0.21312121356281308	0.48969869358157037	0.48919185934620324	0.8766209067352182	0.1	-0.0024799210083951274	1.080854892730713
1370	2500	0.433440863283691	0.4003125846704527	0.34322070781205405	0.1239203427627793	0.1	-0.002480605578616725	1.5278239250183105
1735	1500	0.43391839170098545	0.43087865026533334	0.5103101304122408	0.6157642395653397	0.1	-0.002480822856273299	1.0730314254760742
472	1500	0.24330538102980634	0.22268634433002757	0.4476428997619667	0.5482808371786638	0.1	-0.0024816739681557455	0.8744096755981445
494	2500	0.20805268239340843	0.5423171408929438	0.41583004449447447	0.29232931577377896	0.1	-0.0024821011578051114	1.5260913372039795
2774	1500	0.44646750744770936	0.1897950438317018	0.4604895697963153	0.7427778981758993	0.1	-0.0024824960451116634	1.0758235454559326
185	1500	0.2750518361214363	0.29203653738545454	0.29916230775578684	0.8406214486435134	0.1	-0.002482832941756659	1.0751590728759766
635	1500	0.3392355289575878	0.2654231419533848	0.373949274695275	0.8820982262545224	0.1	-0.0024835256813210667	1.0655972957611084
870	2500	0.2423484785052113	0.5605510117884028	0.5042546775452613	0.1753772080147461	0.1	-0.0024838444295797223	1.5511951446533203
599	1000	0.2650820359870866	0.5214246203951859	0.33633761041350513	0.5226510898849271	0.1	-0.002483859699421586	0.8328886032104492
2172	2500	0.43604011755478533	0.5301619351141394	0.44452187558394557	0.9294279942037623	0.1	-0.0024841038595889084	1.5440292358398438
1354	2500	0.44245298193592897	0.3132221149225585	0.35093520792105626	0.6449203217850958	0.1	-0.0024842058116072234	1.5215179920196533
