	Q	R	eps_max	Q_scale_factor	rotflip_const	mean_test_score	mean_score_time
39	0.05	0.015	0.18	500	0.05		0.0003294944763183594
40	0.05	0.015	0.18	500	0.075		0.0004334449768066406
41	0.05	0.015	0.18	500	0.1		0.0005409717559814453
42	0.05	0.015	0.25	500	0.05		0.0005114078521728516
43	0.05	0.015	0.25	500	0.075		0.0005617141723632812
44	0.05	0.015	0.25	500	0.1		0.0003466606140136719
45	0.05	0.015	0.4	500	0.05		0.0003266334533691406
46	0.05	0.015	0.4	500	0.075		0.0003173351287841797
47	0.05	0.015	0.4	500	0.1		0.0003159046173095703
48	0.05	0.02	0.12	500	0.05		0.00031757354736328125
49	0.05	0.02	0.12	500	0.075		0.0003173351287841797
50	0.05	0.02	0.12	500	0.1		0.00031375885009765625
51	0.05	0.02	0.18	500	0.05		0.00030875205993652344
52	0.05	0.02	0.18	500	0.075		0.0003261566162109375
53	0.05	0.02	0.18	500	0.1		0.0003304481506347656
54	0.05	0.02	0.25	500	0.05		0.0003178119659423828
55	0.05	0.02	0.25	500	0.075		0.00032782554626464844
56	0.05	0.02	0.25	500	0.1		0.0003161430358886719
57	0.05	0.02	0.4	500	0.05		0.0003108978271484375
58	0.05	0.02	0.4	500	0.075		0.00032448768615722656
59	0.05	0.02	0.4	500	0.1		0.00031447410583496094
60	0.05	0.025	0.12	500	0.05		0.0003254413604736328
61	0.05	0.025	0.12	500	0.075		0.00031566619873046875
62	0.05	0.025	0.12	500	0.1		0.0003113746643066406
63	0.05	0.025	0.18	500	0.05		0.0003135204315185547
64	0.05	0.025	0.18	500	0.075		0.0003218650817871094
65	0.05	0.025	0.18	500	0.1		0.0003120899200439453
66	0.05	0.025	0.25	500	0.05		0.0003285408020019531
67	0.05	0.025	0.25	500	0.075		0.00035834312438964844
68	0.05	0.025	0.25	500	0.1		0.0003352165222167969
69	0.05	0.025	0.4	500	0.05		0.0003170967102050781
70	0.05	0.025	0.4	500	0.075		0.0003147125244140625
71	0.05	0.025	0.4	500	0.1		0.0003285408020019531
72	0.05	0.015	0.12	1000	0.05		0.00032520294189453125
73	0.05	0.015	0.12	1000	0.075		0.0003209114074707031
74	0.05	0.015	0.12	1000	0.1		0.0003185272216796875
75	0.05	0.015	0.18	1000	0.05		0.00031375885009765625
76	0.05	0.015	0.18	1000	0.075		0.00031828880310058594
77	0.05	0.015	0.18	1000	0.1		0.0003132820129394531
78	0.05	0.015	0.25	1000	0.05		0.00031256675720214844
79	0.05	0.015	0.25	1000	0.075		0.0003154277801513672
80	0.05	0.015	0.25	1000	0.1		0.00031948089599609375
81	0.05	0.015	0.4	1000	0.05		0.000331878662109375
82	0.05	0.015	0.4	1000	0.075		0.000316619873046875
83	0.05	0.015	0.4	1000	0.1		0.0003139972686767578
84	0.05	0.02	0.12	1000	0.05		0.0003077983856201172
85	0.05	0.02	0.12	1000	0.075		0.0003235340118408203
