	Q	R	eps_max	Q_scale_factor	mean_test_score	mean_score_time
186	0.05	0.015	0.12	276.955326505792	-0.0024894349848008433	0.03908801078796387
151	0.05	0.015	0.12	276.29321305912396	-0.002489449126298802	0.039086341857910156
134	0.05	0.015	0.12	272.10547083156905	-0.0024895393963536992	0.03858494758605957
80	0.05	0.015	0.12	271.43089570314606	-0.002489554072921172	0.03882884979248047
142	0.05	0.015	0.12	271.1948654531307	-0.002489559217174337	0.03899550437927246
61	0.05	0.015	0.12	270.57237358181504	-0.0024895728067833777	0.0395350456237793
7	0.05	0.015	0.12	270.0700798451599	-0.00248958379618462	0.03893399238586426
57	0.05	0.015	0.12	267.27154322969506	-0.0024896454174969155	0.03943300247192383
185	0.05	0.015	0.12	266.99624845560913	-0.002489651515648858	0.03883934020996094
131	0.05	0.015	0.12	266.73214415535233	-0.002489657372098707	0.03866934776306152
95	0.05	0.015	0.12	255.60147321746607	-0.002489685463924724	0.038752079010009766
130	0.05	0.015	0.12	265.0962537782075	-0.00248969378323329	0.03858447074890137
82	0.05	0.015	0.12	264.849813465387	-0.002489699288785227	0.038787841796875
99	0.05	0.015	0.12	264.20541295046735	-0.002489713710255082	0.038668155670166016
28	0.05	0.015	0.12	234.01393977819538	-0.0024897233791205606	0.03899502754211426
166	0.05	0.015	0.12	263.66180488003704	-0.0024897259046679564	0.05376577377319336
98	0.05	0.015	0.12	263.1627699670648	-0.002489737122381496	0.038698673248291016
177	0.05	0.015	0.12	253.07215082399475	-0.002489743159191882	0.03928017616271973
145	0.05	0.015	0.12	251.23169721343743	-0.00248978551384291	0.03881978988647461
42	0.05	0.015	0.12	231.64294316196617	-0.00248979217747578	0.03953099250793457
133	0.05	0.015	0.12	260.05302167040503	-0.0024898075314183704	0.03863668441772461
192	0.05	0.015	0.12	230.89821254370082	-0.002489809679849606	0.0390324592590332
128	0.05	0.015	0.12	230.88477489307775	-0.0024898099961412697	0.03850817680358887
60	0.05	0.015	0.12	247.82973341193454	-0.0024898646484421525	0.039743900299072266
171	0.05	0.015	0.12	245.75311614251967	-0.0024899135034231385	0.03901934623718262
163	0.05	0.015	0.12	244.7177247669659	-0.002489938020867411	0.03930306434631348
31	0.05	0.015	0.12	244.2079984889648	-0.0024899501300386685	0.038786888122558594
138	0.05	0.015	0.12	243.34512323987497	-0.002489970687987585	0.038491249084472656
81	0.05	0.015	0.12	242.01432142901325	-0.002490002541531879	0.03874921798706055
144	0.05	0.015	0.12	240.71841620448697	-0.0024900337332467107	0.03909111022949219
34	0.05	0.015	0.12	240.21257914794393	-0.002490045955318526	0.0390627384185791
24	0.05	0.015	0.12	240.03172626018744	-0.0024900503315205508	0.03900623321533203
47	0.05	0.015	0.12	220.80816209171087	-0.002490052169923608	0.039110422134399414
25	0.05	0.015	0.12	220.3993867492922	-0.002490062211052845	0.03877735137939453
40	0.05	0.015	0.12	215.19166793665192	-0.002490191682558328	0.03900504112243652
187	0.05	0.015	0.12	211.46852791988067	-0.0024902860566557174	0.03894853591918945
10	0.05	0.015	0.12	211.44002272850304	-0.002490286785189828	0.038782596588134766
29	0.05	0.015	0.12	211.31281006468794	-0.0024902900376058724	0.039125680923461914
152	0.05	0.015	0.12	209.83524215226132	-0.0024903279491897677	0.038796424865722656
32	0.05	0.015	0.12	209.43702378704376	-0.002490338209493134	0.03911900520324707
193	0.05	0.015	0.12	207.34509656122032	-0.0024903924110929875	0.03933310508728027
157	0.05	0.015	0.12	202.15137426139518	-0.0024905292272736084	0.03886866569519043
118	0.05	0.015	0.12	201.6368336387269	-0.0024905429604146945	0.03847670555114746
55	0.05	0.015	0.12	201.13940560781364	-0.0024905562680746234	0.0392308235168457
11	0.05	0.015	0.12	200.238305082259	-0.002490580453891849	0.03892111778259277
