	num_particles	process_std	measurement_std	Q	R	std_a	mean_test_score	mean_score_time
2799	1500	0.010930857010669821	0.03670195411772609	0.4735598018760375	0.08834901739402556	0.28078038189849286	-0.00020542441164090336	0.9583241939544678
444	1000	0.013407589391049534	0.03431583258962849	0.6287922668351869	0.08165107899569113	0.09836611133591208	-0.00020545570620267588	0.7637498378753662
537	1000	0.004504114723958601	0.028160504802831325	0.26798462499728676	0.05613143921905767	0.24830354919004244	-0.0002055049330174993	0.7992043495178223
2705	2500	0.017321552327380543	0.026824223110264514	0.09363601368042503	0.08219768724981746	0.186480521847435	-0.00020552744107529245	1.4716925621032715
2405	1000	0.006730183706806747	0.02830292432870693	0.3120258619136167	0.08346029385870271	0.25936018461543453	-0.00020557008755166394	0.810736894607544
1302	1500	0.010647563286314988	0.025943799090908905	0.24508137428725893	0.04097433408204016	0.19266057196658026	-0.0002056724165863046	1.0386385917663574
413	1500	0.0209390938707686	0.03364377471304869	0.27749483656531626	0.08543664552970665	0.1867040143102949	-0.00020576163839607932	1.0100619792938232
2460	2500	0.009603825743664987	0.03877129979272424	0.23183746348576165	0.09531159250622354	0.4133033272329995	-0.00020576317471631883	1.312195062637329
2332	1500	0.015504454287620244	0.03372792845508633	0.48976435344900837	0.05456330824124754	0.19176640946160511	-0.00020595056316633753	0.9864633083343506
77	600	0.014056182390428076	0.02947987568760316	1.1541520943764643	0.07720285387741031	0.14181533049287348	-0.00020595239844600842	0.6695160865783691
1819	2500	0.005484759365104691	0.03890482747539633	0.380630266817489	0.07213999581468121	0.384851476780736	-0.00020597175979820913	1.305154800415039
2877	1000	0.009582039686791279	0.038735031248169655	0.18195842509501817	0.046193079671256014	0.2906173247223967	-0.00020597331199891436	0.7669177055358887
1918	1000	0.01806392196593492	0.03202275133588667	0.1925005279576773	0.07975585084775541	0.26410602303865816	-0.00020599537264409757	0.8280258178710938
334	1000	0.010948327122873087	0.030962058415042584	0.33051916332265685	0.07284968884712642	0.30450182830283673	-0.00020619206360937396	0.8303079605102539
1791	1500	0.02133240112468361	0.03732536766216112	0.243315511102716	0.045960821899033596	0.1269165819273439	-0.00020620822967141607	0.9650130271911621
1514	2500	0.006814956987057127	0.028574787986432544	0.3122611153086509	0.09635868517256471	0.2845881884063535	-0.0002062952765397052	1.360853672027588
2163	2500	0.008245001810778805	0.023226904613431715	0.22410963675200216	0.03668071747677008	0.1753167839354783	-0.00020632916808425308	1.473799228668213
1059	2500	0.011216855000355377	0.035780160523302434	0.8020018965974128	0.08612893194720031	0.15077988737890732	-0.0002063839444659811	1.2433600425720215
2504	1000	0.010998475329932969	0.03679572977382051	0.4921863134368015	0.06969061833862572	0.28899247260151073	-0.00020649336713370885	0.7909998893737793
1324	600	0.01273538940292089	0.03088825746102816	0.4220707956777215	0.03733303875116383	0.09013731184549786	-0.00020653388850685005	0.647878885269165
451	600	0.016129729398233178	0.031790735939481285	0.04700419162322654	0.07183776731282596	0.2910616603285726	-0.00020653806381938538	0.6605324745178223
640	600	0.02380437034906484	0.035936532085242445	0.1459488476750586	0.09823589197484289	0.15956813442560197	-0.0002065962124027838	0.6667971611022949
874	1000	0.006522422207921638	0.02923804918095997	0.08900310724854063	0.029008161333752887	0.3190681898907878	-0.0002066656005338055	0.8208498954772949
2580	1500	0.011283203570476947	0.0279091329726366	1.261828382968884	0.07645795977680811	0.11793606252836566	-0.00020668954574692985	0.9911925792694092
496	600	0.01314091207506436	0.03517066843291106	0.35605933149029073	0.04383406380236325	0.28315897454163375	-0.0002067310015821252	0.6607542037963867
1758	2500	0.010394836631400138	0.03397479150758164	0.8906456734559189	0.06596934608740061	0.20928560074275898	-0.00020674815281206753	1.3231077194213867
2414	600	0.01853201926646826	0.03859509060134625	0.5336088541425696	0.0834802726843012	0.11191472797084745	-0.0002067713999482424	0.6382772922515869
1903	1500	0.017466415150518562	0.036778070859232494	0.5630382815128389	0.06624145704131865	0.23026322236298383	-0.0002067746391589271	0.9816701412200928
1125	1500	0.019156718116968022	0.03826296996959911	0.7235503206703372	0.07593827553272123	0.16593097777618646	-0.00020690295146214192	0.9634628295898438
1499	2500	0.0113984099537509	0.028458847161365187	0.8982300903683614	0.09902493480103278	0.19690177732812197	-0.00020707090414655532	1.4041008949279785
736	600	0.008653649721390207	0.03451113456402766	0.849176841682748	0.09026787903352146	0.2115325433746661	-0.00020710544943504348	0.6425020694732666
670	1500	0.015631294241796025	0.03710059006084264	0.4573074409079863	0.04305426117371458	0.18518546082523316	-0.0002071583637821263	0.9719939231872559
1428	600	0.01787536547072629	0.02883974585237412	0.12792267150128234	0.0984181093747232	0.2073095730585309	-0.00020719694101613718	0.68239426612854
748	1500	0.011932416249027846	0.03014444885911215	1.3897586352670193	0.09066302445704538	0.16397359849112408	-0.0002072043944155574	0.9987008571624756
