	Q	R	eps_max	Q_scale_factor	rotflip_const	mean_test_score	mean_score_time
375	0.12	0.02	0.18	1000	0.05	-0.004987432476587471	0.3132634162902832
378	0.12	0.02	0.25	1000	0.05	-0.004987432476587471	0.9349138736724854
381	0.12	0.02	0.4	1000	0.05	-0.004987432476587471	0.37767648696899414
274	0.08	0.02	0.4	1200	0.075	-0.004987432476587559	0.32721877098083496
265	0.08	0.02	0.12	1200	0.075	-0.004987432476587559	0.3738722801208496
271	0.08	0.02	0.25	1200	0.075	-0.004987432476587559	0.33635830879211426
268	0.08	0.02	0.18	1200	0.075	-0.004987432476587559	0.3517723083496094
364	0.12	0.015	0.18	1000	0.075	-0.004987432476587654	0.32792234420776367
367	0.12	0.015	0.25	1000	0.075	-0.004987432476587654	0.3425757884979248
361	0.12	0.015	0.12	1000	0.075	-0.004987432476587654	0.7886879444122314
370	0.12	0.015	0.4	1000	0.075	-0.004987432476587654	0.3296029567718506
225	0.08	0.015	0.4	1000	0.05	-0.004987432476587757	0.35470128059387207
222	0.08	0.015	0.25	1000	0.05	-0.004987432476587757	0.5818977355957031
219	0.08	0.015	0.18	1000	0.05	-0.004987432476587757	0.7767508029937744
216	0.08	0.015	0.12	1000	0.05	-0.004987432476587757	0.32660984992980957
119	0.05	0.015	0.4	1200	0.1	-0.004987432476587804	0.4896385669708252
110	0.05	0.015	0.12	1200	0.1	-0.004987432476587804	0.34451961517333984
113	0.05	0.015	0.18	1200	0.1	-0.004987432476587804	0.33051276206970215
116	0.05	0.015	0.25	1200	0.1	-0.004987432476587804	0.33756160736083984
126	0.05	0.02	0.25	1200	0.05	-0.004987432476587833	0.3630850315093994
123	0.05	0.02	0.18	1200	0.05	-0.004987432476587833	0.40999364852905273
120	0.05	0.02	0.12	1200	0.05	-0.004987432476587833	0.7580118179321289
129	0.05	0.02	0.4	1200	0.05	-0.004987432476587833	0.3334217071533203
278	0.08	0.025	0.12	1200	0.1	-0.004987432476587913	0.33162927627563477
281	0.08	0.025	0.18	1200	0.1	-0.004987432476587913	0.32009387016296387
284	0.08	0.025	0.25	1200	0.1	-0.004987432476587913	0.32880210876464844
287	0.08	0.025	0.4	1200	0.1	-0.004987432476587913	0.3454549312591553
118	0.05	0.015	0.4	1200	0.075	-0.004987432476588034	0.42313170433044434
109	0.05	0.015	0.12	1200	0.075	-0.004987432476588034	0.4012446403503418
115	0.05	0.015	0.25	1200	0.075	-0.004987432476588034	0.39499616622924805
112	0.05	0.015	0.18	1200	0.075	-0.004987432476588034	0.35094547271728516
384	0.12	0.025	0.12	1000	0.05	-0.004987432476588043	0.3782029151916504
390	0.12	0.025	0.25	1000	0.05	-0.004987432476588043	0.3351891040802002
387	0.12	0.025	0.18	1000	0.05	-0.004987432476588043	0.33618736267089844
393	0.12	0.025	0.4	1000	0.05	-0.004987432476588043	0.361483097076416
283	0.08	0.025	0.25	1200	0.075	-0.004987432476588151	0.32025671005249023
280	0.08	0.025	0.18	1200	0.075	-0.004987432476588151	0.31716156005859375
277	0.08	0.025	0.12	1200	0.075	-0.004987432476588151	0.34226083755493164
286	0.08	0.025	0.4	1200	0.075	-0.004987432476588151	0.32137346267700195
