	num_particles	process_std	vel_std	measurement_std	res_g	mean_test_score	mean_score_time
2385	2500	0.0836869988591465	0.24860765384100522	0.03686664116832814	0.08913182769547023	-0.0001858423303120556	1.7743616104125977
2039	1000	0.17232801141030515	0.14753404626951522	0.03420916706524692	0.10386038337498271	-0.00018596453624494404	1.057361125946045
841	1500	0.42434412281009687	0.07402275088762586	0.062045752981139554	0.1338196099657024	-0.00018601593087412584	1.2055556774139404
260	1000	0.14332204294148043	0.02385482003519818	0.0622188830156056	0.5380712766917145	-0.0001861233130889434	0.9686944484710693
1023	1000	0.4057249779463702	0.11219300047665969	0.061256126814885514	0.1965877396931458	-0.0001861967528409301	1.0108497142791748
2560	2500	0.07903084739155662	0.20533947672210923	0.02727668281013481	0.04216007681197809	-0.00018629642762805275	1.8265326023101807
661	2500	0.08952206008852626	0.057836073042217155	0.11170439212470995	0.5824613337455097	-0.00018658144129911637	1.569701910018921
1877	1500	0.030892563448436175	0.1337783257207911	0.04328338362692687	0.0555564463464272	-0.0001865877110973973	1.1955046653747559
625	2500	0.432953900145521	0.07563984104220993	0.04249170360251163	0.16394411250241536	-0.0001867755763117685	1.777268886566162
402	1000	0.3452070533640857	0.17187397394939274	0.049803552381742416	0.1470556110993987	-0.00018684569065071437	1.0318546295166016
131	2500	0.08202551981076356	0.03588367743217126	0.02080799588242772	0.20185428103159309	-0.00018691974184486412	1.9297606945037842
1702	600	0.16253603127575572	0.12717583418895556	0.05552612931425969	0.08947093805967343	-0.00018713621748113972	0.8254053592681885
302	2500	0.08945665415042223	0.08308905225761065	0.15515825293113852	0.535687957423816	-0.00018719354586633008	1.557124137878418
1613	2500	0.32062912396703863	0.0725680306204773	0.1394894065789598	0.5764512477484841	-0.00018727270147724675	1.597109079360962
735	2500	0.16209578568603616	0.188933716470666	0.03362550272996956	0.10568158133886696	-0.00018730187745676533	1.8018951416015625
2025	2500	0.12385633104521186	0.09936511402699365	0.11503016917995493	0.2728014832130826	-0.00018761120733554526	1.545729398727417
635	2500	0.11168827140869486	0.07176498092389338	0.05802017763487398	0.4665277817570944	-0.00018805990733497644	1.6958448886871338
2393	600	0.11171072252098833	0.021353397554516453	0.04443571912125572	0.7010840144053	-0.00018810390583147248	0.8295714855194092
2741	2500	0.39644224071235606	0.08800427802910504	0.13594188596427062	0.30272785949034964	-0.0001883633020671378	1.557722806930542
1524	1000	0.059259256108940374	0.08545394827027931	0.05970091548600864	0.336563268115323	-0.00018837907482971861	1.0000884532928467
229	2500	0.2937180393282482	0.08670835136458072	0.11052638514374807	0.2507464910459658	-0.00018840490495658163	1.5453789234161377
1633	2500	0.25940112732507553	0.05083704814488968	0.09926395651445788	0.36511921608859943	-0.0001885457076021697	1.5474491119384766
2109	2500	0.4526289914527205	0.2640349790408535	0.14114687749899488	0.12795068967564327	-0.00018856636047381438	1.5788354873657227
8	1500	0.02108000307851443	0.039916574295031225	0.0560395320559209	0.6736696195928785	-0.00018872317289059162	1.2469425201416016
736	1000	0.20770074237600394	0.07597484593352463	0.03879670217843784	0.32028834246725724	-0.00018877121126702589	1.0473337173461914
1366	2500	0.3865233862438038	0.21815413087640947	0.12845596933499995	0.13565741631076156	-0.00018915937157413924	1.5537540912628174
2337	2500	0.12427986852687287	0.04004355987935494	0.12734040400623226	0.7340483417186415	-0.00018930099296558234	1.559941291809082
2823	1500	0.23367704283636972	0.02653817531172259	0.05128621341595584	0.3221237717684974	-0.00018933152691884994	1.2142550945281982
1297	1000	0.4578148370831989	0.20070127451776623	0.07300410094099033	0.11236779488520965	-0.00018941463941289798	1.0003814697265625
1921	1000	0.04313592608012697	0.2185664528788047	0.07344823158792213	0.12480647423650404	-0.00018942102614250524	0.9924228191375732
2429	2500	0.3422339404631749	0.20177696208385573	0.11517883651243255	0.24611041273576595	-0.00018959216530012733	1.6229026317596436
1959	2500	0.16712892575942226	0.09987577917361766	0.059633631485200664	0.3956645773129478	-0.00018971288101538646	1.7200803756713867
2702	2500	0.4093600660314217	0.060588915748618105	0.11223531642333723	0.5628413791785897	-0.00018979617862334278	1.6363372802734375
2871	1500	0.03294507142387541	0.11346088652822768	0.022789102781326273	0.10746981896517938	-0.00018994872208280152	1.3751485347747803
1359	2500	0.4541160497284187	0.23372286255498262	0.08438779134808838	0.18106617421553795	-0.0001901501268030391	1.6555891036987305
548	1500	0.10237960164105406	0.05115957281267304	0.09531355478565376	0.3702930592948207	-0.00019016641462520827	1.132800579071045
1260	1500	0.0665203521508903	0.32966842236156774	0.07661353659654127	0.09108377000683254	-0.00019017615179516337	1.199183702468872
1038	2500	0.03900072258674954	0.05363384420186464	0.14141391971870945	0.5593703243936061	-0.00019031296118912907	1.5212011337280273
1603	1500	0.4710698571003168	0.2400366403315105	0.09031168385795876	0.1328092188426172	-0.00019033708270197578	1.2029736042022705
1647	1500	0.4521167302659493	0.3310519378021484	0.0700221652358502	0.045585318815555276	-0.00019060138969722904	1.2149977684020996
1852	2500	0.10490778903163621	0.19035531435178987	0.11684018910849964	0.3197976353721982	-0.0001906516219911975	1.6164157390594482
1684	2500	0.4086531280486399	0.26129419036824075	0.09254605400868485	0.20152013587013218	-0.00019087832776282568	1.6689331531524658
344	2500	0.29493721624755714	0.0976498707241682	0.02638999098732986	0.12379323195590075	-0.00019088214722612104	1.9264819622039795
853	1000	0.11409053870758296	0.09161658445372844	0.06432197076057265	0.346675756350722	-0.000191124412478466	1.000112533569336
325	1000	0.05455804565883114	0.0556356270245577	0.0858873314081848	0.342204845139661	-0.00019115145961636819	0.9508321285247803
206	1500	0.024461644170233623	0.3399072366108344	0.10842240659047614	0.13486678065461355	-0.00019123563809427937	1.1917757987976074
1748	1000	0.11219475672212621	0.019011825196342994	0.08315972900520502	0.7978587706334096	-0.00019159814135647833	0.9616091251373291
1734	2500	0.14432534956782284	0.30044938284763945	0.10796521991325686	0.15661042136763004	-0.00019169468698735628	1.6202325820922852
493	2500	0.10988678045471652	0.03746740502095922	0.10422511819367239	0.6810292505356422	-0.0001917286534120162	1.559826374053955
1612	1000	0.021082585368097116	0.09514535285933219	0.034019337216493487	0.23035819892067166	-0.00019173501838893884	1.046501636505127
2456	1000	0.1912129881161724	0.07546371203312247	0.05674043353584664	0.41602673501624743	-0.00019186367583512418	1.0188672542572021
872	1500	0.2627004535353609	0.06998861426868416	0.08394831058237592	0.3426697079632852	-0.00019190262279134538	1.1865079402923584
1943	600	0.2196370707861474	0.18787579027545862	0.05741813812351225	0.10503381179769877	-0.0001919812438882083	0.8243515491485596
1561	1500	0.14157293608368943	0.06351319397019753	0.08715304386151998	0.5452055563551468	-0.00019198142755181953	1.2086830139160156
1183	1500	0.4779265030630412	0.079920571820952	0.07039150295856417	0.3458369466566379	-0.00019207835523431675	1.2426037788391113
