	num_particles	process_std	measurement_std	Q	R	std_a	rotflip_const	mean_test_score	mean_score_time
2402	1000	0.21174540970587763	0.3309503289808599	1.9727241081941895	2.680792262809463	1.6666391534520746	0.1	-0.002342567097088601	0.8239021301269531
2245	1000	0.30256682838384164	0.48738976037782356	1.8025585811342049	2.935934705378012	1.086602796728053	0.1	-0.0023426632674632525	0.7998199462890625
2407	1000	0.1626694980829221	0.262567420039573	1.29270528107603	1.0466771872496725	1.9432346170639507	0.1	-0.002342701553767131	0.8879373073577881
2366	1500	0.2506560612831015	0.4058503248253871	2.1683562980322733	1.1815447705217044	1.2350841275348414	0.1	-0.00234299255841299	0.9922606945037842
1004	2500	0.3633891148572532	0.2601651373381374	0.5795648394832298	1.677067434368069	1.9026072160352836	0.1	-0.0023435194597663657	1.7324292659759521
503	600	0.36097885864047385	0.3307720604399258	0.5092434874970125	1.1258215193974563	1.4452071345429485	0.1	-0.0023438509080744513	0.7635114192962646
2503	1000	0.3559344703487112	0.3944145389021677	2.119967320562154	2.4968723277288163	0.7929662657176939	0.1	-0.0023439602507191216	0.9677774906158447
1482	1500	0.16902264574714518	0.4047527329634387	1.9577151410877398	0.672113066216699	1.6986314445110322	0.1	-0.0023443984547574207	1.0005435943603516
1144	1500	0.18006898999175608	0.4373249927749767	0.9037072918054025	0.7081293915020062	2.0433807223907383	0.1	-0.0023446683498125767	0.9900093078613281
1287	1000	0.2971381959613767	0.30124637101326734	2.8858487867743	2.571294243992147	1.0296825327651293	0.1	-0.0023457380499229265	0.9707655906677246
2284	2500	0.30778686945877826	0.32915100169513806	1.3791734551470831	0.7736677014058455	0.971670728380684	0.1	-0.002345758500479301	1.7498373985290527
366	1500	0.2315830443188208	0.490244490731336	2.0150226896468175	2.6248069898557493	1.01013144163802	0.1	-0.0023460289946458956	0.980135440826416
1987	1000	0.22134729174944584	0.439532617631905	1.9676638909473396	1.3586631441096122	1.3037605889104678	0.1	-0.0023465280459631878	0.8008015155792236
1129	2500	0.24621958995518725	0.4199109670546527	0.26253654860675213	0.4256132267730608	1.1251326592366726	0.1	-0.002347330050458984	1.3421704769134521
1419	1500	0.21389345315454578	0.4506228086980667	0.48435985961520045	0.3531958170521652	0.814086906633718	0.1	-0.0023474398927009177	0.989227294921875
2156	1500	0.3692597420275422	0.3725743191395985	2.2299717043742726	2.892828079361937	0.8716797884407151	0.1	-0.002347774503124898	1.2363264560699463
2575	2500	0.14772271588129804	0.40772036206765605	2.8616695227485898	1.179400280217978	1.4513489116443918	0.1	-0.002348101076823698	1.3139429092407227
2838	1500	0.3419470226760853	0.3771802048447319	2.533747205546486	2.1862595778030958	1.5887131041766231	0.1	-0.0023485877725535945	1.2483832836151123
381	2500	0.34385472373797377	0.4690072051096593	1.6962918971666052	1.091297826122588	2.0748496112931685	0.1	-0.0023489701383475276	1.5633764266967773
1371	1000	0.3322864188675607	0.45197711872096147	0.42750684383214993	0.9394375554067602	2.3474075402744536	0.1	-0.0023494286466436954	0.860074520111084
436	1000	0.15015300229359743	0.4397412977493565	0.8483167677536955	1.8886446114235889	1.4324763845344166	0.1	-0.0023494338314758653	0.7484750747680664
1384	600	0.27766117878231944	0.41721511040906933	1.1571687225489118	1.9266764655996016	2.101634854906635	0.1	-0.0023501506094351105	0.6726343631744385
2831	1500	0.20036362675703506	0.3913004392760609	1.3596825913325306	0.9907498489286255	2.1627191083184636	0.1	-0.0023504075514408076	1.0141329765319824
958	1500	0.14628211625575982	0.4496863621357387	0.8032886793030647	0.606255728668498	1.5404166387363234	0.1	-0.0023509238657970113	0.9147090911865234
603	1500	0.24470305660962735	0.3057537577635353	1.5870022630702203	2.4929214693718746	2.006591503050796	0.1	-0.0023510089016001608	1.2293694019317627
715	2500	0.28885670863139656	0.3240550255445301	2.9351252469219435	1.6616899493990271	1.033300317802994	0.1	-0.0023514156857369164	1.7471997737884521
231	2500	0.3346776730677635	0.33373715065875753	1.5356868963343606	1.5173892433445453	2.2409637986173765	0.1	-0.002351542006459635	1.7363336086273193
1622	1500	0.22752510759239206	0.3515599902016028	0.5454211034888966	0.45601100053059146	1.780884469182612	0.1	-0.002351633529374951	1.045361042022705
2040	1000	0.20953948030942718	0.4778441915312349	0.6598490428163081	0.45480637159783116	2.140164325844109	0.1	-0.0023519420885081636	0.8073430061340332
1069	1500	0.17375420068256595	0.4607569692469856	1.2083379189887695	2.307615959745426	1.4628404596532745	0.1	-0.002352188595308029	0.918696403503418
2195	1500	0.3561535956647097	0.3772834063097568	1.4994973028408385	1.0555907363082206	1.6568855850152988	0.1	-0.00235225132351336	1.2299308776855469
1919	600	0.3628043708911539	0.42103029993264596	2.917105988589122	2.5428083725565953	1.4961391887163986	0.1	-0.002352445537172996	0.7595462799072266
629	600	0.14268238850191425	0.329520170951428	2.043421599345281	2.1588598949296447	0.8034442146638755	0.1	-0.0023526020946738023	0.6590712070465088
2599	1000	0.29875391445514166	0.4173701425312685	1.4995350912634036	2.3182399786171195	1.915071231487957	0.1	-0.002352734556294448	0.840472936630249
928	1000	0.35493903594264276	0.36862434103134284	0.5109898142241378	2.2830359806999803	0.9809050544984739	0.1	-0.0023527595466876217	0.9673733711242676
980	2500	0.28107521361420007	0.44957296870068475	1.9437530244068273	2.305302680016444	1.5694834613840811	0.1	-0.0023527604362848314	1.3500409126281738
2137	1000	0.35211018566316776	0.3385977624194585	0.5255643067672803	0.8639317229461299	2.152853834171918	0.1	-0.002354232405300436	0.9713797569274902
2634	600	0.29955844848914515	0.273001328791961	0.4670740205819867	0.6514185725545485	1.3098810644651586	0.1	-0.002354284718448156	0.7611379623413086
2075	1000	0.19583102821040366	0.4652105494586892	1.1689912919520948	1.2869280983786597	1.7813053002998451	0.1	-0.0023545418251255832	0.8013625144958496
1626	2500	0.3342592454044245	0.2814470099334032	0.8512997508464747	1.7829978609208001	1.7169215398110471	0.1	-0.0023551843401558113	1.7412481307983398
1490	1000	0.22376815769518293	0.4223138283097534	1.177549197925417	1.8769176285030598	1.610907647948178	0.1	-0.0023561038950210855	0.8043444156646729
521	2500	0.3348966719639396	0.2664337811880781	2.6698253266642946	2.9204522281165275	1.8707630838327793	0.1	-0.0023564483750525586	1.7307209968566895
2617	1000	0.10720221200760764	0.34376558426765125	1.5025112579183728	1.4045967470529948	1.9630404334883529	0.1	-0.0023568336844360877	0.7801635265350342
1463	1500	0.17377344525352653	0.3531607416125614	1.4033728571709911	1.7021577896175997	2.2860275022369985	0.1	-0.0023570467192031395	1.0008635520935059
1982	1000	0.11173646211903497	0.29487589471972936	1.7205346694674477	2.588947631148658	1.9544998167831942	0.1	-0.002357641860431108	0.8049077987670898
2269	1500	0.10609413073707645	0.30657094695475134	2.74332269559773	2.4794765911892735	0.8146996797139417	0.1	-0.002357643243617463	0.9065561294555664
801	600	0.29439843221200546	0.27068792859821134	2.0016250590491413	2.038412642551394	1.2493388230896953	0.1	-0.002357881354320861	0.7719480991363525
917	2500	0.35959096974542437	0.3102767752114939	1.6836088915668384	0.7605580101913867	1.3467062788580688	0.1	-0.0023580340216860706	1.7441282272338867
1525	600	0.3138709022773104	0.4555994030967167	2.1062495392821985	2.2321506369871127	0.8201525471939467	0.1	-0.002358180013125025	0.6620461940765381
2609	1000	0.1933996032838282	0.3534112427399434	1.1455888021759457	2.8627136631886367	1.9392327330501455	0.1	-0.002358476406415673	0.8038854598999023
1461	1500	0.11327488462997481	0.4465825039413902	0.4126957748194886	0.532986512025503	1.7341118004893796	0.1	-0.00235931225568369	0.8947575092315674
2760	600	0.3456503376993547	0.3381576987751787	2.3933701709146527	2.6746872504293604	0.9314717606896403	0.1	-0.002359340752806518	0.7670998573303223
856	1500	0.2826553588421118	0.3390600493877092	1.496211532719744	2.720304278898887	2.278276254853155	0.1	-0.002359778777980463	1.2404537200927734
2618	1500	0.23158722687818403	0.26515959642469045	0.8124072572765484	2.216702350282567	2.1034768571453233	0.1	-0.002360060101196875	1.2334539890289307
1518	1500	0.248027056789203	0.4149056062703199	2.187461763644263	1.097242699247954	1.3971922728130637	0.1	-0.0023600934694324206	0.994556188583374
2769	1500	0.3692205002808693	0.32191469436929	0.5059782290514385	2.992298754362504	0.8315925338998932	0.1	-0.0023602217755868855	1.228884220123291
2166	1500	0.29893463794421893	0.4053974510517272	1.7257747036009863	1.3845569659596435	2.053946171331449	0.1	-0.002360421985403964	1.1483280658721924
2311	1000	0.33397277227850625	0.46737348713861154	2.1310793176594403	2.8942292234865286	1.1327409627969596	0.1	-0.00236061957886785	0.8062453269958496
1918	1500	0.10978867610200808	0.4336034268173642	2.587460883349902	1.9150993026543455	1.488809979629945	0.1	-0.002361158916880709	0.8914897441864014
2566	2500	0.3455078300130814	0.2664049880210587	1.973845336234462	2.737958330888227	1.096229264029506	0.1	-0.0023622692657590053	1.7345893383026123
361	2500	0.3188657123347292	0.4451072649967357	2.2329180762376444	1.256609557255119	1.0804777593195987	0.1	-0.0023638631050263955	1.3884592056274414
