	num_particles	process_std	measurement_std	g	h	rotflip_const	mean_test_score	mean_score_time
2578	2500	0.2856833643398148	0.27942741900187573	0.9428519077405195	0.18795503097696398	0.1	-0.0030026127778506355	1.9371345043182373
2729	2500	0.25734541258763033	0.28869903593386737	0.8189349981855762	0.04994414428394234	0.1	-0.0030040696765493953	1.9259989261627197
648	1000	0.36561115934153565	0.31810593308732216	0.9614875583875879	0.6595209303547154	0.1	-0.003006059721010047	1.1041407585144043
2383	2500	0.3263700534640026	0.2580950819819535	0.7083744401369176	0.9153478116869811	0.1	-0.003006930165743229	1.9326813220977783
42	2500	0.5526535384933265	0.29318724083596726	0.9507595352185468	0.28897302221970955	0.1	-0.003007105114660893	1.914323329925537
545	2500	0.4441693350892627	0.3079372698646352	0.8308593545909082	0.6942092113779754	0.1	-0.0030073494981545257	1.9194920063018799
1514	1500	0.36643367862873266	0.3243012190300824	0.8236552056701718	0.6536240231789759	0.1	-0.0030090646366385224	1.3665218353271484
2033	1000	0.34098813450230236	0.2850965700882909	0.8828316439547907	0.06863607074316247	0.1	-0.0030100124773873764	1.1010096073150635
551	1500	0.20349292612611355	0.29007377780810406	0.8631125968660864	0.8733181548682297	0.1	-0.003011441268332085	1.0890696048736572
603	2500	0.3576628939365182	0.28568025183106016	0.8608396857249315	0.9117144451494487	0.1	-0.0030127466507019873	1.9272193908691406
2433	2500	0.39649894521302675	0.2810855758569575	0.9295707965035412	0.8257240612200479	0.1	-0.003014394956085542	1.9239246845245361
1551	1000	0.21400884148960153	0.31588577438490073	0.8495283459867164	0.8920958301282418	0.1	-0.0030145146868548432	0.9050877094268799
1939	1000	0.2611577167812912	0.306236950247081	0.9197179121265313	0.6880769521835194	0.1	-0.003015673629380229	1.096400499343872
1268	2500	0.2669985801902488	0.29547790541392005	0.9192495589073573	0.7413919828443748	0.1	-0.0030158950426778723	1.9452438354492188
690	2500	0.4411026717680899	0.27397902731767887	0.8676688984456231	0.003484593500710509	0.1	-0.003018748507584823	1.9376156330108643
776	1500	0.3648692608480193	0.3186748633799916	0.907454551626223	0.18356276120379422	0.1	-0.003019687800661301	1.3848330974578857
1853	600	0.33245401889333714	0.30969070519189623	0.9887252728586517	0.8499811119855751	0.1	-0.0030204073469539596	0.8870236873626709
2426	2500	0.3495569093452672	0.2564282825884848	0.9037004490717165	0.37622350060067733	0.1	-0.00302322353009993	1.9074366092681885
129	1500	0.48193659613442824	0.3040740392219587	0.9088064338872096	0.45604165089323834	0.1	-0.0030237845249811283	1.3756263256072998
2544	1500	0.4131910938399661	0.27167883872735316	0.8887588860722193	0.7686040195413039	0.1	-0.0030240416282735633	1.3778910636901855
591	2500	0.37697693778292374	0.32395176424800054	0.8698006891130514	0.3844594647274615	0.1	-0.0030250398415433127	1.925612211227417
536	2500	0.4876030827377609	0.2768145738476575	0.9995157243422104	0.1129678952279779	0.1	-0.0030263406585892636	1.9136922359466553
1463	2500	0.41827740724300466	0.26148314285327146	0.8067404368576829	0.6594884638146479	0.1	-0.003028348730308834	1.9064650535583496
1665	2500	0.4253631035520423	0.3214619658963488	0.6953246831527151	0.8395153969295938	0.1	-0.00302864762261231	1.913240671157837
1421	2500	0.5365855433554239	0.2882194956876524	0.9546369517509503	0.051624534077971074	0.1	-0.003031215338611253	1.9038352966308594
1136	2500	0.4905485748586597	0.2768212304303593	0.8571335623653027	0.7378923807219164	0.1	-0.0030315594201354955	1.9263594150543213
596	1500	0.3207128071155596	0.25260995982961004	0.9006619859642816	0.02052248805107293	0.1	-0.003032815592222473	1.3773212432861328
2386	1000	0.3393556603682914	0.2818108393798227	0.8649994992480576	0.039143418746463654	0.1	-0.0030329237723526236	1.0975103378295898
803	2500	0.37651732560598006	0.2786506664406959	0.841480794464584	0.05785746232598232	0.1	-0.003037032540672927	1.9153947830200195
7	1500	0.5231283315239565	0.3143922546778839	0.9363302193993485	0.5083536272856655	0.1	-0.0030375928003818714	1.388092279434204
2400	1000	0.5014534640913022	0.3217731065572844	0.9244785858315997	0.950393961515723	0.1	-0.0030425647682434317	1.087585687637329
346	2500	0.344268071301423	0.27783509855391353	0.5188940031692125	0.9677950549363858	0.1	-0.003042638070865567	1.9370596408843994
2157	2500	0.4031798799459798	0.2988637486993916	0.7786642889799633	0.75443056920956	0.1	-0.0030433699147421724	1.9239544868469238
814	1500	0.4519753731279886	0.2862891651513272	0.9172778533543537	0.5394350551230959	0.1	-0.0030471697834723527	1.366830825805664
