	num_particles	process_std	measurement_std	g	h	mean_test_score	mean_score_time
2095	1500	0.01458693346888439	0.03187599072098169	0.7487380313243941	0.43685806635419333	-0.00019404489444600488	1.0521914958953857
2177	1000	0.019673529427485306	0.03342975203358134	0.8094088956537706	0.14380941013127813	-0.0001942744594374832	0.9072563648223877
2471	1500	0.0135054487118435	0.03001193074258785	0.8747181523521586	0.22757612242119762	-0.00019442624809451166	1.0742528438568115
1861	600	0.018404378530779333	0.030692097663461843	0.8039237431880681	0.42026532836152497	-0.00019442971463610223	0.7544329166412354
772	1500	0.027808733641942848	0.03835403084350245	0.834606813446888	0.918314358821772	-0.00019447159467798547	1.080308437347412
2607	1500	0.01540958227009362	0.026609252183380137	0.7390166091027879	0.9854896762482325	-0.00019465174864753522	1.143866777420044
1493	1500	0.014240895623377525	0.024461115437354474	0.8576588668171703	0.7929098318974724	-0.00019467895451683647	1.1508448123931885
92	1000	0.01758390736955336	0.03975727128887833	0.8135512186807479	0.7844548028812692	-0.0001947149345026901	0.8482537269592285
63	1000	0.012950209304529527	0.028878802481567774	0.769487084150939	0.08267193544430096	-0.000194716989563334	0.9031267166137695
2514	600	0.02049874988702792	0.03754083141509341	0.8705630554135777	0.19675577970838065	-0.00019500656285068052	0.7422506809234619
1477	1000	0.0193602300539015	0.031208031904055536	0.8069795392617152	0.2895427210970588	-0.00019504480323749668	0.9228134155273438
2305	1500	0.026014590882999435	0.03909689412660686	0.8483945611314792	0.20496759475864723	-0.00019518489694191063	1.0754647254943848
1772	600	0.019902561076718745	0.030089595161750297	0.871951893870045	0.5257351089759641	-0.00019529841793155872	0.7736718654632568
1326	2500	0.013121923598541368	0.03496521860686857	0.7142918440039927	0.04379568104747955	-0.0001954055287289744	1.3145220279693604
2204	2500	0.01263013814244886	0.02350651579534765	0.8113102285081211	0.7742944439655567	-0.0001955652653566363	1.57810378074646
1928	1000	0.016760863111181308	0.03912463855067546	0.7449485276699994	0.8717795422730794	-0.00019563325460879898	0.8488421440124512
707	600	0.012879520463684718	0.02854299798926528	0.8287091623163427	0.39024699607731694	-0.00019599854753037585	0.7508771419525146
822	1000	0.02549924150140831	0.03689748273182554	0.8420198269627235	0.8812513907039587	-0.0001960888799385828	0.9056158065795898
2550	1500	0.027807059304445013	0.03947685757690307	0.8785100813474609	0.7275634554709034	-0.00019611977754922764	1.0871984958648682
2101	1500	0.012450698276851049	0.0286378085427733	0.7996863121580335	0.9429098697444538	-0.0001965909600008316	1.0682110786437988
2605	2500	0.016511284595617896	0.025641277066136697	0.8454150138118623	0.9195246622967514	-0.00019659738449507184	1.5840134620666504
1417	2500	0.016706131126013733	0.03801485920372274	0.7451543128038842	0.6198990698788197	-0.00019662812337682364	1.356764554977417
68	600	0.022999702863035435	0.03570217399554618	0.8312626139987065	0.1027319931727595	-0.00019669371483291707	0.7482025623321533
404	1000	0.021457871261456096	0.03291992990184958	0.8171592645762853	0.2554836994940457	-0.00019675641185875467	0.9137735366821289
686	1500	0.014970975234914322	0.038044547358886086	0.7882312641432849	0.6139678921785315	-0.00019686263235337836	0.993189811706543
588	1000	0.01734015013939125	0.030766263150085335	0.7697925451848084	0.4831820865206379	-0.00019686381128708488	0.9088196754455566
632	1500	0.01060630564577505	0.029830660173692132	0.8160521338117788	0.624794337135536	-0.00019689876715868774	1.0364391803741455
5	2500	0.022574042924598893	0.039347304864483394	0.7557999499301362	0.48941876192720946	-0.00019709445469606203	1.4001708030700684
2144	1000	0.025721187363018275	0.036748936943141075	0.8613522835330785	0.1928951253343253	-0.00019716982134698386	0.9103357791900635
2386	1500	0.021553358571765886	0.03040230823022315	0.8055285961728911	0.7122550857258224	-0.0001973304602174137	1.145082712173462
2147	1500	0.014563344646156889	0.03540453671554659	0.7405769345028534	0.3308614692492051	-0.0001973313123449162	1.0222158432006836
2569	600	0.021904002375265894	0.034470483111159696	0.8882787579589342	0.3576876459134418	-0.00019735681906070824	0.7564229965209961
2529	2500	0.010747751175369812	0.03354782842695748	0.6654462158313278	0.9230059418842609	-0.00019747726349735105	1.2943661212921143
2840	1000	0.022591497763846793	0.03639390474003544	0.7964784906282447	0.15385217189708456	-0.00019748441577302261	0.8991415500640869
2354	2500	0.02420975430844161	0.03179657497159894	0.8692996055412106	0.8151197445742211	-0.00019749286805347127	1.5610978603363037
7	1000	0.01755539922036167	0.02618093738555282	0.8544329663182029	0.025846352892726965	-0.00019755076569413205	0.9460945129394531
1218	2500	0.014819870317761153	0.03377845942833359	0.7346094151737529	0.4588027085237961	-0.00019769190727843682	1.38435959815979
